Gene stable ID	Gene name	Gene description	Gene type	WikiGene name	Gene stable ID version
ENSG00000006016	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	protein_coding	CRLF1	ENSG00000006016.12
ENSG00000006025	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	protein_coding	OSBPL7	ENSG00000006025.12
ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	protein_coding	TMEM98	ENSG00000006042.12
ENSG00000006047	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	protein_coding	YBX2	ENSG00000006047.13
ENSG00000006059	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]	protein_coding	KRT33A	ENSG00000006059.4
ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	protein_coding	ABCC8	ENSG00000006071.16
ENSG00000006116	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	protein_coding	CACNG3	ENSG00000006116.4
ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	protein_coding	TMEM132A	ENSG00000006118.15
ENSG00000006125	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	protein_coding	AP2B1	ENSG00000006125.18
ENSG00000006128	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	protein_coding	TAC1	ENSG00000006128.12
ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]	protein_coding	ZNF263	ENSG00000006194.10
ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	protein_coding	CX3CL1	ENSG00000006210.7
ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]	protein_coding	SPATA20	ENSG00000006282.21
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	protein_coding	CACNA1G	ENSG00000006283.18
ENSG00000006327	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	protein_coding	TNFRSF12A	ENSG00000006327.14
ENSG00000006377	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]	protein_coding	DLX6	ENSG00000006377.11
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]	protein_coding	MAP3K9	ENSG00000006432.16
ENSG00000006451	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	protein_coding	RALA	ENSG00000006451.8
ENSG00000006453	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	protein_coding	BAIAP2L1	ENSG00000006453.14
ENSG00000006459	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	protein_coding	KDM7A	ENSG00000006459.11
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	protein_coding	AGK	ENSG00000006530.18
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	protein_coding	ALDH3B1	ENSG00000006534.17
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]	protein_coding	TTC22	ENSG00000006555.11
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding	PHTF2	ENSG00000006576.17
ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]	protein_coding	FARP2	ENSG00000006607.14
ENSG00000006611	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	protein_coding	USH1C	ENSG00000006611.17
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]	protein_coding	GGCT	ENSG00000006625.18
ENSG00000006652	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	protein_coding	IFRD1	ENSG00000006652.15
ENSG00000006695	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	protein_coding	COX10	ENSG00000006695.12
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]	protein_coding	GTF2IRD1	ENSG00000006704.11
ENSG00000006712	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	protein_coding	PAF1	ENSG00000006712.15
ENSG00000006715	VPS41	VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]	protein_coding	VPS41	ENSG00000006715.16
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	protein_coding	ARHGAP44	ENSG00000006740.18
ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]	protein_coding	ELAC2	ENSG00000006744.19
ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	protein_coding	SCIN	ENSG00000006747.15
ENSG00000006756	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	protein_coding	ARSD	ENSG00000006756.16
ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]	protein_coding	PNPLA4	ENSG00000006757.12
ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	protein_coding	ADIPOR2	ENSG00000006831.10
ENSG00000006837	CDKL3	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]	protein_coding	CDKL3	ENSG00000006837.12
ENSG00000007038	PRSS21	serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]	protein_coding	PRSS21	ENSG00000007038.11
ENSG00000007047	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	protein_coding	MARK4	ENSG00000007047.16
ENSG00000007062	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	protein_coding	PROM1	ENSG00000007062.12
ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]	protein_coding	CCDC124	ENSG00000007080.11
ENSG00000007129	CEACAM21	CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]	protein_coding	CEACAM21	ENSG00000007129.18
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	protein_coding	PAFAH1B1	ENSG00000007168.14
ENSG00000007171	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	protein_coding	NOS2	ENSG00000007171.19
ENSG00000007174	DNAH9	dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]	protein_coding	DNAH9	ENSG00000007174.18
ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]	protein_coding	KIAA0100	ENSG00000007202.15
ENSG00000007216	SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]	protein_coding	SLC13A2	ENSG00000007216.16
ENSG00000007237	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	protein_coding	GAS7	ENSG00000007237.19
ENSG00000007255	TRAPPC6A	trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]	protein_coding	TRAPPC6A	ENSG00000007255.10
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]	protein_coding	MATK	ENSG00000007264.15
ENSG00000007306	CEACAM7	CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]	protein_coding	CEACAM7	ENSG00000007306.15
ENSG00000007312	CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	protein_coding	CD79B	ENSG00000007312.14
ENSG00000007314	SCN4A	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	protein_coding	SCN4A	ENSG00000007314.12
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]	protein_coding	ST7L	ENSG00000007341.19
ENSG00000007350	TKTL1	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	protein_coding	TKTL1	ENSG00000007350.17
ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	protein_coding	PAX6	ENSG00000007372.25
ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	protein_coding	RPUSD1	ENSG00000007376.8
ENSG00000007392	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	protein_coding	LUC7L	ENSG00000007392.17
ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	protein_coding	CACNA2D2	ENSG00000007402.12
ENSG00000007516	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	protein_coding	BAIAP3	ENSG00000007516.14
ENSG00000007520	TSR3	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]	protein_coding	TSR3	ENSG00000007520.4
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	protein_coding	PIGQ	ENSG00000007541.17
ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	protein_coding	CRAMP1	ENSG00000007545.16
ENSG00000007866	TEAD3	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	protein_coding	TEAD3	ENSG00000007866.22
ENSG00000007908	SELE	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]	protein_coding	SELE	ENSG00000007908.16
ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	protein_coding	DNAJC11	ENSG00000007923.17
ENSG00000007933	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]	protein_coding	FMO3	ENSG00000007933.13
ENSG00000007952	NOX1	NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]	protein_coding	NOX1	ENSG00000007952.18
ENSG00000007968	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	protein_coding	E2F2	ENSG00000007968.7
ENSG00000008018	PSMB1	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	protein_coding	PSMB1	ENSG00000008018.9
ENSG00000008056	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	protein_coding	SYN1	ENSG00000008056.14
ENSG00000008083	JARID2	jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]	protein_coding	JARID2	ENSG00000008083.14
ENSG00000008086	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	protein_coding	CDKL5	ENSG00000008086.13
